,id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,act_min_price,act_max_price,index,pred_min_price,pred_max_price
0,27414,"2019 Newest Lenovo IdeaPad 15.6"" HD High Performance Laptop PC |7th Gen AMD A9-9425 Dual-Core 3.10 GHz| 4GB RAM | 128GB SSD | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10",Lenovo,Lenovo Ideapad 130,15.6,1366.0,768.0,Matte,0,AMD A9,AMD A9-9425 3.1 GHz (7th gen Stoney Ridge Dual-Core),0.0,0,AMD Radeon R5,Windows,Windows 10 Home,4,128,128,4.63,260.6,267.15,216,283.9453533333318,295.87922666666594
1,25055,"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",Lenovo,Lenovo Chromebook C330,11.6,1366.0,768.0,Glossy,1,MediaTek,MediaTek MT8173C 2.1 GHz (Quad-Core),0.0,0,PowerVR GX6250,Chrome OS,Chrome OS,4,64,64,2.64,239.39,259.99,197,353.98080999999814,363.2126266666666
2,16241,"Model HP Spectre x360 - 13t Stylus(16GB RAM, 512GB SSD, 7th Gen. Intel i7-7500U, Windows Ink) 2-in-1 Convertible 13.3"" Tablet Kaby Lake Touchscreen Bang & Olufsen Thunderbolt Gyroscope - Dark Ash",HP,HP Spectre x360-13t,13.3,1920.0,1080.0,Glossy,1,Intel Core i7,Intel Core i7-7500U 2.7 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10,16,512,512,2.89,1299.95,1299.95,172,1310.299823333328,1345.2638033333144
3,29841,"New Apple MacBook Pro (16-Inch, 16GB RAM, 512GB Storage, 2.6GHz Intel Core i7) - Silver",Apple,Apple MacBook Pro (2019),16.0,3072.0,1920.0,Glossy,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,AMD Radeon Pro 5300M,macOS,macOS Catalina,16,512,512,4.3,2182.92,2230.16,182,1438.4520399999972,1567.075463333331
4,29849,"Dell Latitude E5420 Laptop, HDMI, Intel Core i3 2.1GHz, 4GB DDR3, 160GB SATA HDD, DVDRW, Windows 10 Home 64bit w/ Restore Partition (Renewed)",Dell,Dell Latitude E5420,14.0,,,Matte,0,Intel Core i3,Intel Core i3-2310M 2.1 GHz (Sandy Bridge Dual-Core with Hyper-Threading),0.0,0,Intel HD 3000,Windows,Windows 10 Home,4,0,160,4.5,187.9,195.88,202,285.9355333333305,305.46636666666564
5,9286,"ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)",Asus,Asus Chromebook C202SA-YS02,11.6,1366.0,768.0,Matte,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD,Chrome OS,Chrome OS,4,16,16,2.65,170.0,189.98,215,175.78978666666643,180.32144333333227
6,31194,"Lenovo Ideapad 330 15.6"" Anti Glared HD Premium Business Laptop (AMD A9-9425 up to 3.7 GHz, 8GB DDR4 Memory, 256GB SSD, AMD Radeon R5 Graphic, DVD-RW, HDMI, Windows 10 Home) - Red",Lenovo,Lenovo IdeaPad 330,15.6,1366.0,768.0,Matte,0,AMD A9,AMD A9-9425 3.1 GHz (7th gen Stoney Ridge Dual-Core),0.0,0,AMD Radeon R5,Windows,Windows 10 Home,8,256,256,4.85,314.99,318.0,174,470.42946666666546,489.9502999999964
7,27108,"Acer Swift 3 SF315-41G-R6MP Laptop, 15.6"" Full HD IPS Display, AMD Ryzen 7 2700U, AMD Radeon RX 540 Graphics, 8GB DDR4, 256GB SSD, Windows 10",Acer,Acer Swift 3 SF315-41G,15.6,1920.0,1080.0,Glossy,0,AMD Ryzen 7,AMD Ryzen 7 2700U 2.2 GHz (Quad-Core with Simultaneous Multi-Threading),0.0,1,AMD Radeon RX 540,Windows,Windows 10 Home,8,256,256,4.85,569.99,579.0,169,576.0835499999946,618.3125499999974
8,25064,"Samsung Chromebook 3, 11.6"", 4GB Ram, 64GB eMMC (XE500C13-K06US)",Samsung,Samsung Chromebook 3,11.6,1366.0,768.0,Matte,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD 400,Chrome OS,Chrome OS,4,64,64,2.54,197.0,208.9,84,213.21391999999892,227.93881000000064
9,7080,"Dell Inspiron 15 5000 Series  15.6 Inch Laptop (Intel Core i5 5200U, 8 GB RAM, 1 TB HDD, Silver) with MaxxAudio",Dell,Dell Inspiron 15 i5558-5002SLV,15.6,1366.0,768.0,glossy,1,Intel Core i5,Intel Core i5-5200U 2.20 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel HD,Windows,Windows 10,8,0,1000,5.4,629.99,629.99,28,557.473993333333,560.3123866666658
