,base_name,brand,cpu_GHZ,cpu_benchmark,cpu_brand,cpu_core,cpu_type_name,detachable_keyboard,discrete_gpu,gpu,gpu_benchmark,gpu_brand,gpu_type,id,max_price,min_price,os_details,pc_name,pixels_x,ram,screen_size,screen_surface,ssd,storage,threading,touchscreen,weight
0,LENOVO FLEX 3 80JM002CUS,LENOVO,2.4,2715.0,INTEL,DUAL-CORE,CORE I7,0.0,0,INTEL HD,10.0,INTEL,HD,7774,899.0,899.0,WINDOWS 10,LENOVO FLEX,1920.0,8,15.6,GLOSSY,0,1000,1.0,1,4.6
1,RAZER BLADE 15,RAZER,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070 MAX-Q,11018.0,NVIDIA,GEFORCE RTX 2070 MAX-Q,25926,2099.99,2099.99,WINDOWS 10 HOME,RAZER BLADE,1920.0,16,15.6,MATTE,512,512,1.0,0,4.63
2,HP,HP,2.5,1032.0,AMD,DUAL-CORE,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,25267,449.0,439.0,WINDOWS 10,HP,1366.0,8,15.6,Unknown,0,500,0.0,0,4.63
3,ACER ASPIRE E5-576,ACER,2.2,3676.0,INTEL,DUAL-CORE,CORE I3,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,22367,449.0,375.0,WINDOWS 10 HOME,ACER ASPIRE,1920.0,6,15.6,MATTE,0,1000,1.0,0,5.3
4,HP 17,HP,2.5,3522.0,INTEL,DUAL-CORE,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,17471,559.0,559.0,WINDOWS 10,HP,1600.0,8,17.3,GLOSSY,0,1000,1.0,0,5.8
5,HP CHROMEBOOK,HP,1.6,759.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,21209,172.0,172.0,CHROME OS,HP CHROMEBOOK,1366.0,4,11.6,GLOSSY,16,16,0.0,1,2.6
6,HP,HP,1.6,6372.0,INTEL,QUAD-CORE,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,20956,628.5,619.99,WINDOWS 10 HOME,HP,1366.0,8,15.6,GLOSSY,0,2000,1.0,1,4.52
7,ASUS ROG STRIX GL703GS SCAR EDITION,ASUS,2.2,10418.0,INTEL,HEXA-CORE,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,13557.0,NVIDIA,GEFORCE GTX 1070,22373,1646.99,1646.99,WINDOWS 10 HOME,ASUS ROG STRIX,1920.0,16,17.3,MATTE,256,1256,1.0,0,6.5
8,DELL CHROMEBOOK 11,DELL,1.4,849.0,INTEL,DUAL-CORE,CELERON,0.0,0,INTEL HD,10.0,INTEL,HD,23120,78.9,69.0,CHROME OS,DELL CHROMEBOOK,1366.0,4,11.6,GLOSSY,16,16,0.0,0,2.9
9,DELL INSPIRON 3567,DELL,2.4,2806.0,INTEL,DUAL-CORE,CORE I3,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,24438,389.0,379.0,WINDOWS 10 HOME,DELL INSPIRON,1366.0,8,15.6,GLOSSY,0,1000,1.0,0,5.07
