,id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,min_price,max_price,cpu_brand,cpu_type_name,gpu_brand,gpu_type,os_details_2,cpu_details_2,cpu_GHZ,cpu_benchmark,gpu_benchmark,cpu_core,threading,pc_name
0,7774,"LENOVO FLEX 3 15.6-INCH TOUCHSCREEN LAPTOP (CORE I7, 8 GB RAM, 1 TB HDD, WINDOWS 10) 80R40006US",LENOVO,LENOVO FLEX 3 80JM002CUS,15.6,1920,1080,GLOSSY,1,INTEL CORE I7,INTEL CORE I7-5500U 2.40 GHZ (5TH GEN BROADWELL DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL HD,WINDOWS,WINDOWS 10,8,0,1000,4.6,899.0,899.0,INTEL,CORE I7,INTEL,HD,10,5500U,2.40,2715.0,10.0,DUAL-CORE,1.0,LENOVO FLEX
1,25926,"RAZER BLADE 15 GAMING LAPTOP: INTEL CORE I7-8750H 6 CORE, NVIDIA GEFORCE RTX 2070 MAX-Q | 15.6"" FHD 144HZ | 16GB RAM | 512GB SSD, CNC ALUMINUM, CHROMA RGB LIGHTING, THUNDERBOLT 3",RAZER,RAZER BLADE 15,15.6,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-8750H 2.2 GHZ (8TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE RTX 2070 MAX-Q,WINDOWS,WINDOWS 10 HOME,16,512,512,4.63,2099.99,2099.99,INTEL,CORE I7,NVIDIA,GEFORCE RTX 2070 MAX-Q,10 HOME,8750H,2.2,10418.0,11018.0,HEXA-CORE,1.0,RAZER BLADE
2,25267,"HP 15.6 INCH HD THIN AND LIGHT LAPTOP ( 7TH GEN AMD A6-9220 2.5GHZ APU, 8GB DDR4 MEMORY, 500GB HDD, WIRELESS AC, HDMI, BLUETOOTH, WINDOWS 10)",HP,HP,15.6,1366,768,NAN,0,AMD A6,AMD A6-9220 2.5 GHZ (7TH GEN STONEY RIDGE DUAL-CORE),0.0,0,AMD RADEON R4,WINDOWS,WINDOWS 10,8,0,500,4.63,439.0,449.0,AMD,A6,AMD,RADEON R4,10,9220,2.5,1032.0,346.0,DUAL-CORE,0.0,HP
3,22367,"ACER ASPIRE E 15, 15.6"" FULL HD, 8TH GEN INTEL CORE I3-8130U, 6GB RAM MEMORY, 1TB HDD, 8X DVD, E5-576-392H",ACER,ACER ASPIRE E5-576,15.6,1920,1080,MATTE,0,INTEL CORE I3,INTEL CORE I3-8130U 2.2 GHZ (8TH GEN KABY LAKE R DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL UHD 620,WINDOWS,WINDOWS 10 HOME,6,0,1000,5.3,375.0,449.0,INTEL,CORE I3,INTEL,UHD 620,10 HOME,8130U,2.2,3676.0,888.0,DUAL-CORE,1.0,ACER ASPIRE
4,17471,"HP 17.3 INCH (1600 X 900) HD+ LAPTOP PC, INTEL CORE I5-7200U 2.5 GHZ DUAL-CORE, 8 GB DDR4, 1 TB HDD, DVD, HDMI, 802.11B/G/N, USB 3.1, STEREO SPEAKERS, WINDOWS 10, BLACK",HP,HP 17,17.3,1600,900,GLOSSY,0,INTEL CORE I5,INTEL CORE I5-7200U 2.5 GHZ (7TH GEN KABY LAKE DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL HD 620,WINDOWS,WINDOWS 10,8,0,1000,5.8,559.0,559.0,INTEL,CORE I5,INTEL,HD 620,10,7200U,2.5,3522.0,888.0,DUAL-CORE,1.0,HP
5,21209,"2018 NEWEST HP 11.6Â€ HD CHROMEBOOK WITH 3X FASTER WIFI - INTEL DUAL-CORE CELERON N3060 UP TO 2.48 GHZ, 4GB MEMORY, 16GB EMMC, HDMI, BLUETOOTH, USB 3.1, 12-HOURS BATTERY LIFE",HP,HP CHROMEBOOK,11.6,1366,768,GLOSSY,1,INTEL CELERON,INTEL CELERON N3060 1.6 GHZ (BRASWELL DUAL-CORE),0.0,0,INTEL HD 400,CHROME OS,CHROME OS,4,16,16,2.6,172.0,172.0,INTEL,CELERON,INTEL,HD 400,CHROME OS,N3060,1.6,759.0,329.0,DUAL-CORE,0.0,HP CHROMEBOOK
6,20956,"HP TOUCHSCREEN 15.6 INCH HD NOTEBOOK , INTEL CORE I5-8250U PROCESSOR UP TO 3.40 GHZ, 8GB DDR4, 2TB HARD DRIVE, OPTICAL DRIVE, WEBCAM, BACKLIT KEYBOARD, BLUETOOTH, WINDOWS 10 HOME",HP,HP,15.6,1366,768,GLOSSY,1,INTEL CORE I5,INTEL CORE I5-8250U 1.6 GHZ (8TH GEN KABY LAKE R QUAD-CORE WITH HYPER-THREADING),0.0,0,INTEL UHD 620,WINDOWS,WINDOWS 10 HOME,8,0,2000,4.52,619.99,628.5,INTEL,CORE I5,INTEL,UHD 620,10 HOME,8250U,1.6,6372.0,888.0,QUAD-CORE,1.0,HP
7,22373,"ASUS ROG STRIX SCAR EDITION GAMING LAPTOP, 17.3Â€ 144HZ 3MS FULL HD, INTEL CORE I7-8750H, GEFORCE GTX 1070 8GB, 16GB DDR4, 256GB PCIE SSD + 1TB FIRECUDA, WINDOWS 10 - GL703GS-DS74",ASUS,ASUS ROG STRIX GL703GS SCAR EDITION,17.3,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-8750H 2.2 GHZ (8TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE GTX 1070,WINDOWS,WINDOWS 10 HOME,16,256,1256,6.5,1646.99,1646.99,INTEL,CORE I7,NVIDIA,GEFORCE GTX 1070,10 HOME,8750H,2.2,10418.0,13557.0,HEXA-CORE,1.0,ASUS ROG STRIX
8,23120,"DELL CHROMEBOOK 11 -INTEL CELERON 2955U, 4GB RAM, 16GB SSD, WEBCAM, HDMI, (11.6 HD SCREEN 1366X768) (RENEWED)",DELL,DELL CHROMEBOOK 11,11.6,1366,768,GLOSSY,0,INTEL CELERON,INTEL CELERON 2955U 1.4 GHZ (4TH GEN HASWELL DUAL-CORE),0.0,0,INTEL HD,CHROME OS,CHROME OS,4,16,16,2.9,69.0,78.9,INTEL,CELERON,INTEL,HD,CHROME OS,2955U,1.4,849.0,10.0,DUAL-CORE,0.0,DELL CHROMEBOOK
9,24438,"DELL I3567-3380BLK-PUS INSPIRON 15 3000 LAPTOP, 15.6"" SCREEN, INTEL CORE I3, 8GB RAM, 1TB HD, WINDOWS 10 HOME",DELL,DELL INSPIRON 3567,15.6,1366,768,GLOSSY,0,INTEL CORE I3,INTEL CORE I3-7100U 2.4 GHZ (7TH GEN KABY LAKE DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL HD 620,WINDOWS,WINDOWS 10 HOME,8,0,1000,5.07,379.0,389.0,INTEL,CORE I3,INTEL,HD 620,10 HOME,7100U,2.4,2806.0,888.0,DUAL-CORE,1.0,DELL INSPIRON
