,cpu_core,brand,cpu_brand,gpu_brand,gpu,cpu_type_name,screen_surface,touchscreen,discrete_gpu,detachable_keyboard,threading,screen_size,ram,ssd,weight,cpu_GHZ,pixels_x,cpu_benchmark,gpu_benchmark,min_price,max_price
480,QUAD-CORE,DELL,AMD,AMD,AMD RADEON VEGA 10,RYZEN 7,GLOSSY,1,0,0.0,1.0,13.3,12,256,3.86,2.2,1920,6903.0,1571.0,512.99,517.99
449,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,512,4.14,2.2,1920,10418.0,10210.0,2099.0,2099.0
475,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,12,0,4.23,1.6,1366,6372.0,888.0,621.0,621.99
434,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,11.6,4,128,2.38,1.6,1366,2142.0,829.0,418.0,418.0
368,QUAD-CORE,ACER,INTEL,INTEL,INTEL HD,ATOM,MATTE,0,0,0.0,0.0,15.6,4,16,4.3,1.04,1366,1196.0,10.0,197.97,197.99
55,DUAL-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE 940M,CORE I5,MATTE,0,1,0.0,1.0,15.6,8,0,5.29,2.2,1920,2546.0,1048.0,789.0,789.0
322,QUAD-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I5,MATTE,0,1,0.0,0.0,15.6,8,256,5.95,2.5,1920,5260.0,6657.0,705.98,748.0
76,HEXA-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,17.3,8,256,9.74,2.2,1920,10418.0,10210.0,1699.0,1699.0
504,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 500,CELERON,MATTE,0,0,0.0,0.0,15.6,4,0,4.85,1.1,1366,1123.0,317.0,299.99,342.0
347,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,256,5.1,2.8,1920,7069.0,5595.0,938.0,938.0
415,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1660 TI,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,250,4.85,2.6,1920,11636.0,12791.0,1209.0,1229.0
220,DUAL-CORE,APPLE,INTEL,INTEL,INTEL IRIS PLUS 640,CORE I5,GLOSSY,0,0,0.0,1.0,13.3,8,256,3.02,2.3,2560,4675.0,1377.0,1299.0,1402.49
117,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,250,5.0,2.6,1920,11636.0,15156.0,1339.0,1349.0
249,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,11.6,4,16,2.43,1.6,1366,759.0,329.0,186.94,187.0
173,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 3000,CORE I5,MATTE,0,0,0.0,1.0,14.0,8,128,5.0,2.5,1366,2275.0,258.0,179.0,198.49
93,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,16,512,4.68,1.6,1366,6068.0,888.0,768.99,819.95
325,QUAD-CORE,OTHER,INTEL,INTEL,INTEL HD 4000,CELERON,Unknown,0,0,0.0,0.0,12.5,3,32,2.42,1.44,1366,112.0,329.0,165.05,165.05
275,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,8,256,5.2,2.5,1366,3522.0,888.0,450.0,457.99
342,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,0,0,0.0,0.0,15.6,4,0,4.7,2.16,1366,530.0,10.0,349.0,349.0
70,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,15.6,12,0,4.85,1.8,1920,6134.0,888.0,733.0,748.0
505,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4400,CORE I3,GLOSSY,1,0,0.0,1.0,15.6,4,0,6.0,1.9,1366,1863.0,530.0,383.51,383.51
9,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,0,0,0.0,1.0,15.6,8,0,5.07,2.4,1366,2806.0,888.0,379.0,389.0
