,cpu_core,brand,cpu_brand,gpu_brand,gpu,cpu_type_name,screen_surface,touchscreen,discrete_gpu,detachable_keyboard,threading,id,screen_size,ram,ssd,storage,weight,cpu_GHZ,pixels_x,cpu_benchmark,gpu_benchmark,min_price,max_price
23,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,19855,11.6,4,128,128,2.38,1.6,1366,2142.0,829.0,380.44,405.82
231,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1080,CORE I7,MATTE,0,1,0.0,1.0,22136,15.6,16,512,512,5.0,2.2,1920,10418.0,14716.0,1479.0,1489.0
265,DUAL-CORE,LENOVO,AMD,AMD,AMD RADEON R5,A9,MATTE,0,0,0.0,0.0,28043,15.6,8,0,1000,4.85,3.1,1366,1687.0,148.0,334.38,335.0
208,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,1,0,0.0,0.0,28215,11.6,4,32,32,2.76,1.6,1366,759.0,329.0,199.99,214.9
5,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,1,0,0.0,0.0,21209,11.6,4,16,16,2.6,1.6,1366,759.0,329.0,172.0,172.0
116,DUAL-CORE,HP,INTEL,INTEL,INTEL UHD 600,CELERON,MATTE,0,0,0.0,0.0,25739,11.6,4,32,32,2.57,1.1,1366,1278.0,345.0,161.99,174.0
45,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,22746,17.3,16,256,1256,5.95,2.2,1920,10418.0,13557.0,1649.0,1649.0
394,QUAD-CORE,ACER,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,MATTE,0,0,0.0,1.0,23230,15.6,8,0,1000,5.07,2.0,1920,6317.0,1509.0,449.0,466.0
16,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,MATTE,0,1,0.0,1.0,28803,15.6,8,256,256,5.07,2.2,1920,10418.0,7868.0,839.0,896.48
472,HEXA-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,26136,17.3,16,256,1256,9.74,2.2,1920,10418.0,13557.0,1645.0,1645.0
461,QUAD-CORE,ASUS,AMD,NVIDIA,NVIDIA GEFORCE GTX 1650,RYZEN 5,MATTE,0,1,0.0,1.0,28805,15.6,8,256,256,4.85,2.1,1920,8163.0,7868.0,649.99,649.99
3,DUAL-CORE,ACER,INTEL,INTEL,INTEL UHD 620,CORE I3,MATTE,0,0,0.0,1.0,22367,15.6,6,0,1000,5.3,2.2,1920,3676.0,888.0,375.0,449.0
227,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,8682,11.6,4,16,16,2.54,1.6,1366,672.0,10.0,138.0,145.97
482,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,20503,13.3,8,256,256,3.72,1.8,1920,6134.0,888.0,829.99,844.97
60,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 605,PENTIUM,GLOSSY,1,0,0.0,0.0,28330,15.6,8,0,1000,4.3,1.1,1366,2801.0,355.0,379.0,407.98
110,QUAD-CORE,HUAWEI,INTEL,NVIDIA,NVIDIA GEFORCE MX150,CORE I7,GLOSSY,1,1,0.0,1.0,27582,13.9,16,512,512,2.93,1.8,3000,6134.0,2387.0,1299.99,1399.0
324,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I7,MATTE,0,1,0.0,1.0,30998,15.6,8,256,256,4.1,2.6,1920,11636.0,6657.0,649.0,848.0
297,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,28982,15.6,12,0,1000,4.3,1.6,1920,6068.0,888.0,596.0,619.0
29,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD 520,CORE I7,MATTE,0,0,0.0,1.0,12778,15.0,8,256,256,2.9,2.5,1920,3369.0,864.0,722.0,722.0
192,QUAD-CORE,TOSHIBA,INTEL,INTEL,INTEL HD,PENTIUM,GLOSSY,1,0,0.0,0.0,10690,11.6,4,0,500,2.9,1.6,1366,1243.0,10.0,527.0,527.0
464,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,1,0,0.0,1.0,21894,15.6,12,0,1000,4.52,2.4,1366,2806.0,888.0,574.0,579.0
26,QUAD-CORE,HP,AMD,AMD,AMD RADEON R5,A8,GLOSSY,0,0,0.0,0.0,6768,15.6,4,0,750,4.8,2.0,1366,2341.0,148.0,449.99,449.99
7,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,22373,17.3,16,256,1256,6.5,2.2,1920,10418.0,13557.0,1646.99,1646.99
462,QUAD-CORE,MICROSOFT,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,25437,13.5,8,128,128,2.76,1.6,2256,6372.0,888.0,789.0,899.99
108,,DELL,INTEL,INTEL,INTEL HD 5500,CORE I5,GLOSSY,1,0,0.0,0.0,6641,15.6,8,0,1000,5.7,2.0455467196819135,1366,4957.364729458918,568.0,639.99,689.99
37,DUAL-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE 940MX,CORE I7,GLOSSY,1,1,0.0,1.0,17020,15.6,16,512,512,4.42,2.7,3840,3500.0,1603.0,1499.77,1499.77
157,QUAD-CORE,MICROSOFT,INTEL,INTEL,INTEL IRIS PLUS,CORE I7,GLOSSY,1,0,1.0,1.0,30756,12.3,16,512,512,1.74,1.3,2736,8923.0,1888.0,1629.99,1818.97
476,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,0,0,0.0,1.0,20742,15.6,8,0,1000,4.67,1.6,1366,6372.0,888.0,638.0,638.0
118,QUAD-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE MX250,CORE I7,GLOSSY,1,1,0.0,1.0,27577,13.3,16,512,512,2.82,1.8,3840,6777.0,2660.0,1079.99,1140.32
114,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 960M,CORE I7,MATTE,0,1,0.0,1.0,10822,15.6,16,0,1000,5.68,2.6,1920,6661.0,3467.0,999.0,999.0
175,QUAD-CORE,LG,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,0,0,0.0,1.0,22371,15.6,8,256,256,2.41,1.6,1920,6372.0,888.0,967.98,968.0
194,QUAD-CORE,HP,AMD,AMD,AMD RADEON VEGA 6,RYZEN 3,MATTE,0,0,0.0,0.0,23243,14.0,8,128,128,3.37,2.0,1920,5745.0,1553.0,549.0,549.0
318,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,29631,17.3,32,500,1500,5.9,2.6,1920,11636.0,15156.0,1399.0,1499.0
144,QUAD-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I5,MATTE,0,1,0.0,1.0,28484,15.6,8,256,256,5.95,2.3,1920,7584.0,6657.0,674.7,674.9
376,QUAD-CORE,ACER,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,1,0,0.0,0.0,29410,11.6,4,32,32,2.76,1.6,1366,1043.0,10.0,256.35,262.98
429,DUAL-CORE,HP,AMD,AMD,AMD RADEON R4,A6,GLOSSY,0,0,0.0,0.0,28044,15.6,8,0,1000,4.63,2.6,1366,1274.0,346.0,395.0,408.0
204,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,0,0,0.0,1.0,20737,14.0,16,512,512,2.4,1.8,1920,6134.0,888.0,999.99,1098.98
321,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 5000,CORE I5,GLOSSY,0,0,0.0,1.0,25061,11.6,4,128,128,2.38,1.4,1366,2440.0,684.0,339.99,399.0
362,QUAD-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE MX250,CORE I7,MATTE,0,1,0.0,1.0,30289,15.6,12,512,512,3.97,1.8,1920,6777.0,2660.0,738.0,739.0
454,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,24013,15.6,16,512,512,4.63,2.2,1920,10418.0,13557.0,1568.0,1579.99
141,DUAL-CORE,HP,AMD,AMD,AMD RADEON R4,A6,GLOSSY,0,0,0.0,0.0,28645,15.6,4,0,1000,4.61,2.6,1366,1274.0,346.0,379.99,388.56
494,QUAD-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I5,MATTE,0,1,0.0,1.0,29207,15.6,8,512,512,4.1,2.4,1920,8167.0,6657.0,689.0,829.99
67,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,0,0,0.0,0.0,22138,15.6,4,0,500,5.07,1.6,1366,759.0,329.0,378.99,379.0
261,DUAL-CORE,APPLE,INTEL,INTEL,INTEL UHD 617,CORE I5,GLOSSY,0,0,0.0,1.0,28639,13.3,8,128,128,2.75,1.6,2560,3296.0,878.0,899.99,999.99
168,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 500,CELERON,MATTE,0,0,0.0,0.0,25591,11.6,4,32,32,2.2,1.1,1366,1123.0,317.0,161.99,178.4
503,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,30512,17.3,16,500,500,5.9,2.6,1920,11636.0,15156.0,1299.0,1349.0
383,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,28223,13.3,8,512,512,2.5,1.6,1920,6068.0,888.0,699.97,699.99
245,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CORE I3,GLOSSY,0,0,0.0,1.0,7497,15.6,6,0,1000,5.3,2.1,1366,1936.0,10.0,399.0,399.0
193,DUAL-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I3,MATTE,0,0,0.0,1.0,28334,15.6,8,128,128,3.5,2.1,1920,4248.0,888.0,363.53,391.49
255,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,MATTE,1,0,0.0,1.0,26801,15.6,16,512,512,4.29,1.9,1920,6620.0,888.0,1217.32,1529.98
109,DUAL-CORE,HP,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,11525,14.0,4,16,16,3.78,2.16,1366,618.0,10.0,249.99,249.99
487,HEXA-CORE,RAZER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2080 MAX-Q,CORE I7,MATTE,0,1,0.0,1.0,27578,15.6,16,512,512,4.74,2.6,1920,11636.0,14482.0,2693.39,2699.99
145,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE MX150,CORE I7,MATTE,0,1,0.0,1.0,21210,15.6,8,256,1256,3.3,1.8,1920,6134.0,2387.0,929.0,929.0
92,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 605,PENTIUM,GLOSSY,1,0,0.0,0.0,28981,15.6,4,0,500,4.49,1.1,1366,2801.0,355.0,242.99,249.28
